Team,Down,Distance Bucket,Play Type,2022 %,2023 %,2024 %,2022→2023 Change,2023→2024 Change
CIN,1,medium,Run,60.9%,57.1%,60.0%,-3.7 %,2.9 %
CIN,1,short,Pass,45.5%,45.5%,52.4%,0.0 %,6.9 %
CIN,1,short,Run,54.5%,54.5%,47.6%,0.0 %,-6.9 %
CIN,1,very long,Pass,50.0%,66.7%,87.5%,16.7 %,20.8 %
CIN,1,very long,Run,50.0%,33.3%,12.5%,-16.7 %,-20.8 %
CIN,2,long,Pass,80.9%,77.1%,85.7%,-3.8 %,8.6 %
CIN,2,long,Run,19.1%,22.9%,14.3%,3.8 %,-8.6 %
CIN,2,medium,Pass,63.3%,68.5%,73.6%,5.2 %,5.2 %
CIN,2,medium,Run,36.7%,31.5%,26.4%,-5.2 %,-5.2 %
CIN,2,short,Pass,31.7%,46.3%,43.2%,14.6 %,-3.1 %
CIN,2,short,Run,68.3%,53.7%,56.8%,-14.6 %,3.1 %
CIN,2,very long,Pass,79.6%,69.8%,81.8%,-9.9 %,12.1 %
CIN,2,very long,Run,20.4%,30.2%,18.2%,9.9 %,-12.1 %
CIN,3,long,Pass,87.5%,87.0%,86.5%,-0.5 %,-0.6 %
CIN,3,long,Run,12.5%,13.0%,13.5%,0.5 %,0.6 %
CIN,3,medium,Pass,88.3%,98.2%,91.3%,9.9 %,-6.9 %
CIN,3,medium,Run,11.7%,1.8%,8.7%,-9.9 %,6.9 %
CIN,3,short,Pass,53.0%,61.5%,71.4%,8.5 %,9.9 %
CIN,3,short,Run,47.0%,38.5%,28.6%,-8.5 %,-9.9 %
CIN,3,very long,Pass,90.5%,84.6%,77.4%,-5.9 %,-7.2 %
CIN,3,very long,Run,9.5%,15.4%,22.6%,5.9 %,7.2 %
CIN,4,long,Pass,nan%,nan%,100.0%,nan %,nan %
CIN,4,long,Run,nan%,nan%,0.0%,nan %,nan %
CIN,4,medium,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
CIN,4,medium,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
CIN,4,short,Pass,44.4%,45.5%,88.2%,1.0 %,42.8 %
CIN,4,short,Run,55.6%,54.5%,11.8%,-1.0 %,-42.8 %
CIN,4,very long,Pass,nan%,66.7%,nan%,nan %,nan %
CIN,4,very long,Run,nan%,33.3%,nan%,nan %,nan %
CLE,1,long,Pass,38.6%,48.3%,58.6%,9.7 %,10.3 %
CLE,1,long,Run,61.4%,51.7%,41.4%,-9.7 %,-10.3 %
CLE,1,medium,Pass,46.2%,58.3%,54.5%,12.2 %,-3.8 %
CLE,1,medium,Run,53.8%,41.7%,45.5%,-12.2 %,3.8 %
CLE,1,short,Pass,42.9%,25.0%,25.0%,-17.9 %,0.0 %
CLE,1,short,Run,57.1%,75.0%,75.0%,17.9 %,0.0 %
CLE,1,very long,Pass,73.3%,77.3%,91.7%,3.9 %,14.4 %
CLE,1,very long,Run,26.7%,22.7%,8.3%,-3.9 %,-14.4 %
CLE,2,long,Pass,58.8%,66.0%,73.1%,7.3 %,7.1 %
CLE,2,long,Run,41.2%,34.0%,26.9%,-7.3 %,-7.1 %
CLE,2,medium,Pass,51.4%,47.0%,55.1%,-4.4 %,8.1 %
CLE,2,medium,Run,48.6%,53.0%,44.9%,4.4 %,-8.1 %
CLE,2,short,Pass,40.0%,33.8%,40.0%,-6.2 %,6.2 %
CLE,2,short,Run,60.0%,66.2%,60.0%,6.2 %,-6.2 %
CLE,2,very long,Pass,78.0%,72.1%,76.5%,-5.8 %,4.3 %
CLE,2,very long,Run,22.0%,27.9%,23.5%,5.8 %,-4.3 %
CLE,3,long,Pass,92.3%,91.7%,89.7%,-0.6 %,-2.0 %
CLE,3,long,Run,7.7%,8.3%,10.3%,0.6 %,2.0 %
CLE,3,medium,Pass,85.9%,78.3%,87.2%,-7.6 %,8.9 %
CLE,3,medium,Run,14.1%,21.7%,12.8%,7.6 %,-8.9 %
CLE,3,short,Pass,35.5%,40.3%,40.4%,4.8 %,0.1 %
CLE,3,short,Run,64.5%,59.7%,59.6%,-4.8 %,-0.1 %
CLE,3,very long,Pass,81.4%,92.9%,92.6%,11.5 %,-0.3 %
CLE,3,very long,Run,18.6%,7.1%,7.4%,-11.5 %,0.3 %
CLE,4,long,Pass,100.0%,100.0%,66.7%,0.0 %,-33.3 %
CLE,4,long,Run,0.0%,0.0%,33.3%,0.0 %,33.3 %
CLE,4,medium,Pass,81.8%,100.0%,90.9%,18.2 %,-9.1 %
CLE,4,medium,Run,18.2%,0.0%,9.1%,-18.2 %,9.1 %
CLE,4,short,Pass,32.0%,33.3%,35.7%,1.3 %,2.4 %
CLE,4,short,Run,68.0%,66.7%,64.3%,-1.3 %,-2.4 %
CLE,4,very long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
CLE,4,very long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
DAL,1,long,Pass,43.8%,51.9%,55.0%,8.1 %,3.1 %
DAL,1,long,Run,56.2%,48.1%,45.0%,-8.1 %,-3.1 %
DAL,1,medium,Pass,46.7%,47.8%,35.7%,1.2 %,-12.1 %
DAL,1,medium,Run,53.3%,52.2%,64.3%,-1.2 %,12.1 %
DAL,1,short,Pass,41.7%,38.5%,0.0%,-3.2 %,-38.5 %
DAL,1,short,Run,58.3%,61.5%,100.0%,3.2 %,38.5 %
DAL,1,very long,Pass,14.3%,81.0%,56.0%,66.7 %,-25.0 %
DAL,1,very long,Run,85.7%,19.0%,44.0%,-66.7 %,25.0 %
DAL,2,long,Pass,62.6%,69.0%,67.9%,6.5 %,-1.2 %
DAL,2,long,Run,37.4%,31.0%,32.1%,-6.5 %,1.2 %
DAL,2,medium,Pass,46.2%,62.0%,58.4%,15.8 %,-3.6 %
DAL,2,medium,Run,53.8%,38.0%,41.6%,-15.8 %,3.6 %
DAL,2,short,Pass,48.3%,38.9%,40.0%,-9.4 %,1.1 %
DAL,2,short,Run,51.7%,61.1%,60.0%,9.4 %,-1.1 %
DAL,2,very long,Pass,73.3%,69.1%,67.9%,-4.2 %,-1.2 %
DAL,2,very long,Run,26.7%,30.9%,32.1%,4.2 %,1.2 %
DAL,3,long,Pass,98.2%,89.1%,92.2%,-9.1 %,3.0 %
DAL,3,long,Run,1.8%,10.9%,7.8%,9.1 %,-3.0 %
DAL,3,medium,Pass,83.3%,86.7%,86.4%,3.4 %,-0.3 %
DAL,3,medium,Run,16.7%,13.3%,13.6%,-3.4 %,0.3 %
DAL,3,short,Pass,35.2%,56.4%,42.6%,21.2 %,-13.8 %
DAL,3,short,Run,64.8%,43.6%,57.4%,-21.2 %,13.8 %
DAL,3,very long,Pass,86.5%,77.1%,82.9%,-9.3 %,5.8 %
DAL,3,very long,Run,13.5%,22.9%,17.1%,9.3 %,-5.8 %
DAL,4,long,Pass,nan%,100.0%,100.0%,nan %,0.0 %
DAL,4,long,Run,nan%,0.0%,0.0%,nan %,0.0 %
DAL,4,medium,Pass,66.7%,100.0%,100.0%,33.3 %,0.0 %
DAL,4,medium,Run,33.3%,0.0%,0.0%,-33.3 %,0.0 %
DAL,4,short,Pass,33.3%,57.9%,45.5%,24.6 %,-12.4 %
DAL,4,short,Run,66.7%,42.1%,54.5%,-24.6 %,12.4 %
DAL,4,very long,Pass,100.0%,nan%,100.0%,nan %,nan %
DAL,4,very long,Run,0.0%,nan%,0.0%,nan %,nan %
DEN,1,long,Pass,51.9%,51.4%,47.6%,-0.5 %,-3.8 %
DEN,1,long,Run,48.1%,48.6%,52.4%,0.5 %,3.8 %
