posteam,down,distance_bucket,play_type,n_plays_2022,n_plays_2023,n_plays_2024,Success Rate %_2022,Success Rate %_2023,Success Rate %_2024,Success Rate %_2022→2023 Δ,Success Rate %_2023→2024 Δ,Conversion %_2022,Conversion %_2023,Conversion %_2024,Conversion %_2022→2023 Δ,Conversion %_2023→2024 Δ
BUF,3,medium,run,15.0,13.0,6.0,60.0,61.53999999999999,66.67,1.5,5.1,60.0,53.849999999999994,83.33,-6.2,29.5
BUF,3,short,pass,39.0,24.0,33.0,58.97,54.169999999999995,45.45,-4.8,-8.7,61.53999999999999,54.169999999999995,48.480000000000004,-7.4,-5.7
BUF,3,short,run,36.0,57.0,52.0,80.56,77.19,63.46000000000001,-3.4,-13.7,80.56,80.7,63.46000000000001,0.1,-17.2
BUF,3,very long,pass,25.0,27.0,30.0,44.0,29.630000000000003,43.33,-14.4,13.7,32.0,18.52,23.330000000000002,-13.5,4.8
BUF,3,very long,run,5.0,7.0,4.0,60.0,57.14,75.0,-2.9,17.9,60.0,28.57,50.0,-31.4,21.4
BUF,4,long,pass,,,1.0,,,0.0,,,,,0.0,,
BUF,4,medium,pass,1.0,,4.0,0.0,,50.0,,,0.0,,50.0,,
BUF,4,medium,run,,1.0,1.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0
BUF,4,short,pass,9.0,11.0,9.0,33.33,45.45,77.78,12.1,32.3,33.33,45.45,77.78,12.1,32.3
BUF,4,short,run,5.0,8.0,16.0,100.0,87.5,81.25,-12.5,-6.2,100.0,87.5,87.5,-12.5,0.0
BUF,4,very long,pass,1.0,,,0.0,,,,,0.0,,,,
CAR,1,long,pass,180.0,208.0,182.0,36.11,44.230000000000004,43.41,8.1,-0.8,0.0,0.0,0.0,0.0,0.0
CAR,1,long,run,206.0,205.0,208.0,38.35,30.240000000000002,43.269999999999996,-8.1,13.0,0.0,0.0,0.0,0.0,0.0
CAR,1,medium,pass,3.0,2.0,5.0,33.33,50.0,40.0,16.7,-10.0,0.0,0.0,0.0,0.0,0.0
CAR,1,medium,run,9.0,5.0,7.0,44.440000000000005,40.0,42.86,-4.4,2.9,0.0,0.0,0.0,0.0,0.0
CAR,1,short,pass,4.0,1.0,3.0,0.0,100.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
CAR,1,short,run,1.0,3.0,7.0,100.0,33.33,57.14,-66.7,23.8,0.0,0.0,0.0,0.0,0.0
CAR,1,very long,pass,6.0,14.0,8.0,33.33,28.57,37.5,-4.8,8.9,0.0,0.0,0.0,0.0,0.0
CAR,1,very long,run,7.0,6.0,3.0,28.57,16.669999999999998,0.0,-11.9,-16.7,0.0,0.0,0.0,0.0,0.0
CAR,2,long,pass,68.0,86.0,85.0,45.59,32.56,36.47,-13.0,3.9,0.0,0.0,0.0,0.0,0.0
CAR,2,long,run,62.0,44.0,37.0,40.32,38.64,24.32,-1.7,-14.3,0.0,0.0,0.0,0.0,0.0
CAR,2,medium,pass,46.0,50.0,64.0,47.83,38.0,46.88,-9.8,8.9,0.0,0.0,0.0,0.0,0.0
CAR,2,medium,run,50.0,64.0,51.0,42.0,48.44,39.22,6.4,-9.2,0.0,0.0,0.0,0.0,0.0
CAR,2,short,pass,13.0,22.0,17.0,46.150000000000006,27.27,41.18,-18.9,13.9,0.0,0.0,0.0,0.0,0.0
CAR,2,short,run,38.0,34.0,30.0,63.160000000000004,52.94,63.33,-10.2,10.4,0.0,0.0,0.0,0.0,0.0
CAR,2,very long,pass,26.0,42.0,29.0,61.53999999999999,26.19,44.83,-35.3,18.6,0.0,0.0,0.0,0.0,0.0
CAR,2,very long,run,25.0,8.0,7.0,32.0,25.0,14.29,-7.0,-10.7,0.0,0.0,0.0,0.0,0.0
CAR,3,long,pass,36.0,63.0,46.0,5.56,17.46,36.96,11.9,19.5,5.56,14.29,32.61,8.7,18.3
CAR,3,long,run,8.0,6.0,3.0,25.0,66.67,0.0,41.7,-66.7,12.5,50.0,0.0,37.5,-50.0
CAR,3,medium,pass,52.0,50.0,62.0,34.62,40.0,33.87,5.4,-6.1,32.690000000000005,40.0,33.87,7.3,-6.1
CAR,3,medium,run,18.0,10.0,11.0,44.440000000000005,50.0,54.55,5.6,4.5,33.33,50.0,63.63999999999999,16.7,13.6
CAR,3,short,pass,15.0,36.0,30.0,46.67,52.78,36.67,6.1,-16.1,46.67,52.78,36.67,6.1,-16.1
CAR,3,short,run,36.0,37.0,25.0,66.67,59.46,72.0,-7.2,12.5,66.67,62.160000000000004,72.0,-4.5,9.8
CAR,3,very long,pass,29.0,44.0,29.0,41.38,15.909999999999998,31.03,-25.5,15.1,24.14,11.360000000000001,13.79,-12.8,2.4
CAR,3,very long,run,8.0,3.0,5.0,12.5,33.33,0.0,20.8,-33.3,0.0,33.33,0.0,33.3,-33.3
CAR,4,long,pass,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAR,4,medium,pass,5.0,10.0,8.0,60.0,30.0,37.5,-30.0,7.5,60.0,30.0,37.5,-30.0,7.5
CAR,4,medium,run,,1.0,,,100.0,,,,,100.0,,,
CAR,4,short,pass,3.0,14.0,12.0,33.33,64.29,50.0,31.0,-14.3,33.33,64.29,50.0,31.0,-14.3
CAR,4,short,run,9.0,13.0,7.0,88.89,69.23,71.43,-19.7,2.2,88.89,69.23,71.43,-19.7,2.2
CAR,4,very long,pass,3.0,4.0,2.0,33.33,25.0,0.0,-8.3,-25.0,0.0,25.0,0.0,25.0,-25.0
CAR,4,very long,run,,2.0,,,0.0,,,,,0.0,,,
CHI,1,long,pass,156.0,192.0,189.0,35.9,46.88,42.33,11.0,-4.6,0.0,0.0,0.0,0.0,0.0
CHI,1,long,run,221.0,230.0,194.0,37.56,34.78,34.02,-2.8,-0.8,0.0,0.0,0.0,0.0,0.0
CHI,1,medium,pass,3.0,3.0,2.0,100.0,33.33,0.0,-66.7,-33.3,0.0,0.0,0.0,0.0,0.0
CHI,1,medium,run,8.0,6.0,11.0,50.0,50.0,54.55,0.0,4.5,0.0,0.0,0.0,0.0,0.0
CHI,1,short,pass,,4.0,4.0,,25.0,75.0,,50.0,,0.0,0.0,,0.0
CHI,1,short,run,5.0,9.0,6.0,40.0,55.559999999999995,66.67,15.6,11.1,0.0,0.0,0.0,0.0,0.0
CHI,1,very long,pass,7.0,11.0,16.0,71.43,36.36,37.5,-35.1,1.1,0.0,0.0,0.0,0.0,0.0
CHI,1,very long,run,13.0,8.0,8.0,46.150000000000006,37.5,37.5,-8.7,0.0,0.0,0.0,0.0,0.0,0.0
CHI,2,long,pass,50.0,57.0,70.0,46.0,31.580000000000002,35.709999999999994,-14.4,4.1,0.0,0.0,0.0,0.0,0.0
CHI,2,long,run,72.0,71.0,40.0,26.39,33.800000000000004,32.5,7.4,-1.3,0.0,0.0,0.0,0.0,0.0
CHI,2,medium,pass,40.0,54.0,66.0,35.0,46.300000000000004,37.88,11.3,-8.4,0.0,0.0,0.0,0.0,0.0
CHI,2,medium,run,69.0,70.0,53.0,43.480000000000004,44.29,47.17,0.8,2.9,0.0,0.0,0.0,0.0,0.0
CHI,2,short,pass,10.0,16.0,20.0,50.0,43.75,45.0,-6.2,1.2,0.0,0.0,0.0,0.0,0.0
CHI,2,short,run,30.0,32.0,37.0,73.33,65.62,59.46,-7.7,-6.2,0.0,0.0,0.0,0.0,0.0
CHI,2,very long,pass,25.0,44.0,59.0,36.0,38.64,40.68,2.6,2.0,0.0,0.0,0.0,0.0,0.0
CHI,2,very long,run,30.0,15.0,8.0,40.0,53.33,62.5,13.3,9.2,0.0,0.0,0.0,0.0,0.0
CHI,3,long,pass,25.0,38.0,39.0,36.0,31.580000000000002,20.51,-4.4,-11.1,36.0,31.580000000000002,17.95,-4.4,-13.6
CHI,3,long,run,14.0,9.0,6.0,64.29,77.78,83.33,13.5,5.5,50.0,55.559999999999995,83.33,5.6,27.8
CHI,3,medium,pass,55.0,69.0,63.0,40.0,42.03,38.1,2.0,-3.9,40.0,43.480000000000004,38.1,3.5,-5.4
CHI,3,medium,run,27.0,20.0,13.0,62.96000000000001,60.0,30.769999999999996,-3.0,-29.2,59.260000000000005,55.00000000000001,30.769999999999996,-4.3,-24.2
CHI,3,short,pass,12.0,25.0,28.0,33.33,56.00000000000001,53.56999999999999,22.7,-2.4,33.33,56.00000000000001,53.56999999999999,22.7,-2.4
CHI,3,short,run,40.0,31.0,26.0,70.0,67.74,53.849999999999994,-2.3,-13.9,70.0,67.74,53.849999999999994,-2.3,-13.9
CHI,3,very long,pass,36.0,36.0,46.0,16.669999999999998,11.110000000000001,23.91,-5.6,12.8,8.33,5.56,15.22,-2.8,9.7
CHI,3,very long,run,8.0,9.0,7.0,25.0,44.440000000000005,14.29,19.4,-30.2,12.5,33.33,0.0,20.8,-33.3
CHI,4,long,pass,3.0,2.0,3.0,0.0,50.0,33.33,50.0,-16.7,0.0,50.0,33.33,50.0,-16.7
CHI,4,medium,pass,3.0,5.0,8.0,0.0,40.0,50.0,40.0,10.0,0.0,40.0,62.5,40.0,22.5
CHI,4,medium,run,2.0,,2.0,100.0,,100.0,,,100.0,,100.0,,
CHI,4,short,pass,5.0,5.0,14.0,20.0,20.0,71.43,0.0,51.4,20.0,20.0,78.57,0.0,58.6
CHI,4,short,run,7.0,12.0,8.0,71.43,66.67,50.0,-4.8,-16.7,71.43,66.67,50.0,-4.8,-16.7
CHI,4,very long,pass,4.0,2.0,3.0,0.0,50.0,0.0,50.0,-50.0,0.0,50.0,0.0,50.0,-50.0
CIN,1,long,pass,281.0,225.0,224.0,52.31,49.33,58.040000000000006,-3.0,8.7,0.0,0.0,0.0,0.0,0.0
CIN,1,long,run,209.0,193.0,205.0,37.8,34.2,36.1,-3.6,1.9,0.0,0.0,0.0,0.0,0.0
CIN,1,medium,pass,9.0,9.0,6.0,33.33,44.440000000000005,50.0,11.1,5.6,0.0,0.0,0.0,0.0,0.0
CIN,1,medium,run,14.0,12.0,9.0,57.14,25.0,55.559999999999995,-32.1,30.6,0.0,0.0,0.0,0.0,0.0
CIN,1,short,pass,5.0,5.0,11.0,20.0,60.0,27.27,40.0,-32.7,0.0,0.0,0.0,0.0,0.0
CIN,1,short,run,6.0,6.0,10.0,66.67,33.33,40.0,-33.3,6.7,0.0,0.0,0.0,0.0,0.0
CIN,1,very long,pass,10.0,6.0,14.0,60.0,50.0,42.86,-10.0,-7.1,0.0,0.0,0.0,0.0,0.0
CIN,1,very long,run,10.0,3.0,2.0,40.0,100.0,0.0,60.0,-100.0,0.0,0.0,0.0,0.0,0.0
CIN,2,long,pass,106.0,101.0,90.0,45.28,41.58,46.67,-3.7,5.1,0.0,0.0,0.0,0.0,0.0
CIN,2,long,run,25.0,30.0,15.0,36.0,26.669999999999998,26.669999999999998,-9.3,0.0,0.0,0.0,0.0,0.0,0.0
CIN,2,medium,pass,93.0,76.0,95.0,44.09,51.32,53.68000000000001,7.2,2.4,0.0,0.0,0.0,0.0,0.0
CIN,2,medium,run,54.0,35.0,34.0,44.440000000000005,65.71000000000001,29.409999999999997,21.3,-36.3,0.0,0.0,0.0,0.0,0.0
CIN,2,short,pass,26.0,25.0,32.0,53.849999999999994,60.0,71.88,6.2,11.9,0.0,0.0,0.0,0.0,0.0
CIN,2,short,run,56.0,29.0,42.0,62.5,51.72,42.86,-10.8,-8.9,0.0,0.0,0.0,0.0,0.0
CIN,2,very long,pass,43.0,30.0,36.0,53.49,53.33,38.89,-0.2,-14.4,0.0,0.0,0.0,0.0,0.0
CIN,2,very long,run,11.0,13.0,8.0,36.36,15.379999999999999,50.0,-21.0,34.6,0.0,0.0,0.0,0.0,0.0
CIN,3,long,pass,49.0,47.0,32.0,44.9,36.17,34.38,-8.7,-1.8,42.86,36.17,31.25,-6.7,-4.9
CIN,3,long,run,7.0,7.0,5.0,42.86,28.57,60.0,-14.3,31.4,28.57,28.57,60.0,0.0,31.4
CIN,3,medium,pass,68.0,55.0,63.0,52.94,32.73,55.559999999999995,-20.2,22.8,51.470000000000006,30.91,55.559999999999995,-20.6,24.6
CIN,3,medium,run,9.0,1.0,6.0,33.33,0.0,50.0,-33.3,50.0,33.33,0.0,50.0,-33.3,50.0
CIN,3,short,pass,35.0,40.0,55.0,57.14,70.0,47.27,12.9,-22.7,57.14,70.0,47.27,12.9,-22.7
CIN,3,short,run,31.0,25.0,22.0,77.42,60.0,72.72999999999999,-17.4,12.7,77.42,64.0,77.27000000000001,-13.4,13.3
